imdbId,directors,letterboxdAverageScore,letterboxdNumVotes
tt0022913,Tod Browning,3.94,85660
tt0022958,Edmund Goulding,3.54,16085
tt0023027,Norman Z. McLeod,3.75,10639
tt0023151,George Archainbaud,3.27,327
tt0023158,Rouben Mamoulian,3.79,5944
tt0023194,Charles Brabin,2.97,2208
tt0023196,George Fitzmaurice,3.19,2029
tt0023213,Dorothy Arzner,3.59,7177
tt0023238,"Irving Pichel,Ernest B. Schoedsack",3.43,20708
tt0023245,Karl Freund,3.28,44985
tt0023249,Robert Florey,3.16,8715
tt0023266,Archie Mayo,3.21,1272
tt0023277,Wesley Ruggles,3.19,1725
tt0023293,James Whale,3.49,26263
tt0023369,Lewis Milestone,3.47,2102
tt0023374,Richard Boleslawski,3.26,421
tt0023382,Victor Fleming,3.45,3387
tt0023427,Howard Hawks,3.82,40148
tt0023458,Josef von Sternberg,3.72,21048
tt0023470,Cecil B. DeMille,3.5,1814
tt0023590,Mervyn LeRoy,3.4,4161
tt0023622,Ernst Lubitsch,4.11,25987
tt0023649,Carl Theodor Dreyer,3.79,52407
tt0023686,George Cukor,3.35,2311
tt0023694,Victor Halperin,3.12,16599
tt0023753,Norman Z. McLeod,3.24,2707
tt0023775,Alfred E. Green,3.71,14627
tt0023825,Victor Fleming,3.31,2487
tt0023876,Frank Lloyd,2.55,5670
tt0023926,Robert Z. Leonard,3.44,2083
tt0023940,Ernst Lubitsch,3.91,19526
tt0023969,Leo McCarey,3.93,54234
tt0023985,Dudley Murphy,3.37,1554
tt0023986,Roy Del Ruth,3.49,1103
tt0024008,Michael Curtiz,3.19,1254
tt0024025,Thornton Freeland,3.16,2456
tt0024028,"Lloyd Bacon,Busby Berkeley",3.67,7081
tt0024034,"Lloyd Bacon,Busby Berkeley",3.56,13940
tt0024044,Gregory La Cava,3.2,939
tt0024067,Raoul Walsh,3.1,457
tt0024069,Mervyn LeRoy,3.85,13768
tt0024166,Wesley Ruggles,3.42,5261
tt0024184,James Whale,3.87,74253
tt0024210,Michael Curtiz,3.23,2306
tt0024216,"Ernest B. Schoedsack,Merian C. Cooper",3.85,92320
tt0024240,Frank Capra,3.59,2840
tt0024264,George Cukor,3.48,7835
tt0024353,Lowell Sherman,3.06,2239
tt0024360,A. Edward Sutherland,3.13,3670
tt0024473,Alexander Korda,3.44,3655
tt0024481,Rouben Mamoulian,3.75,7810
tt0024548,Lowell Sherman,3.12,9093
tt0024593,Ernest B. Schoedsack,2.66,7105
tt0024598,Rouben Mamoulian,3.44,856
tt0024601,William A. Seiter,3.69,7768
tt0024617,Stephen Roberts,3.55,2462
tt0024625,Edwin L. Marin,2.93,598
tt0024675,Howard Hawks,3.14,813
tt0024727,Frank R. Strayer,2.86,2793
tt0024844,Jean Vigo,3.98,28249
tt0024852,"Gus Meins,Charley Rogers",3.37,4873
tt0024865,Sidney Franklin,3.29,1129
tt0024873,Leo McCarey,3.11,1063
tt0024894,Edgar G. Ulmer,3.55,26602
tt0024916,Frank Capra,3.31,512
tt0024991,Cecil B. DeMille,3.41,4164
tt0025004,Rowland V. Lee,3.58,2127
tt0025028,"Ray Enright,Busby Berkeley",3.47,2681
tt0025037,Mitchell Leisen,3.38,2444
tt0025124,Frank Borzage,2.96,662
tt0025164,Mark Sandrich,3.52,7476
tt0025238,Lloyd Bacon,3.02,700
tt0025272,Alfred L. Werker,3.04,651
tt0025301,John M. Stahl,3.53,5500
tt0025316,Frank Capra,4.16,99534
tt0025318,Norman Z. McLeod,3.43,3835
tt0025335,John Ford,3.2,2706
tt0025408,Frank Borzage,3.61,729
tt0025423,John Ford,3.42,2122
