imdbId,directors,letterboxdAverageScore,letterboxdNumVotes
tt0101510,Michael Fields,3.24,318
tt0101516,Barry Levinson,3.34,13302
tt0101523,Terry Hughes,2.68,2607
tt0101540,Martin Scorsese,3.72,243496
tt0101587,Ron Underwood,3.35,32922
tt0101590,Michael Apted,3.15,2819
tt0101595,Stephen Poliakoff,2.89,1778
tt0101605,Alan Parker,3.82,29036
tt0101615,David Kellogg,2.18,6408
tt0101627,Kristine Peterson,2.37,10900
tt0101635,John Hughes,2.89,11695
tt0101640,Zhang Yimou,4.31,39326
tt0101669,Kenneth Branagh,3.35,13670
tt0101697,Robert Mugge,3.61,304
tt0101698,Albert Brooks,3.65,27590
tt0101700,"Jean-Pierre Jeunet,Marc Caro",3.82,77265
tt0101701,Tom Mankiewicz,2.85,4667
tt0101748,Nancy Savoca,3.82,16261
tt0101757,Stephen Herek,3.17,27310
tt0101761,Oliver Stone,3.4,69689
tt0101775,Ate de Jong,3.04,32322
tt0101811,Mike Newell,3.46,2649
tt0101821,John Cherry,2.9,16332
tt0101862,Charles Shyer,3.34,91712
tt0101889,Terry Gilliam,3.87,58509
tt0101902,Mark Rydell,3.06,1777
tt0101912,Garry Marshall,3.43,24577
tt0101917,Rachel Talalay,2.12,69485
tt0101921,Jon Avnet,3.91,85301
tt0101969,Lawrence Kasdan,3.25,5517
tt0101984,Irwin Winkler,3.28,5033
tt0102005,Simon Wincer,2.92,8047
tt0102011,"Ken Kwapis,Marisa Silver",2.84,2530
tt0102015,"George Hickenlooper,Fax Bahr,Eleanor Coppola",4.2,51475
tt0102045,Aaron Norris,2.63,1484
tt0102057,Steven Spielberg,3.42,272625
tt0102065,"Doug McHenry,George Jackson",2.79,3299
tt0102103,James Lapine,3.39,2162
tt0102116,Sean Penn,3.51,4094
tt0102138,Oliver Stone,4.04,109325
tt0102175,Spike Lee,3.47,14804
tt0102181,Steven Soderbergh,3.39,5586
tt0102202,Albert Pyun,2.53,2010
tt0102250,Mick Jackson,3.44,15682
tt0102307,Paul Schrader,3.7,31322
tt0102316,Jodie Foster,3.3,7403
tt0102343,Dale Launer,2.71,6935
tt0102368,Claude Chabrol,3.32,6430
tt0102370,Alek Keshishian,3.69,9692
tt0102388,Robert Mulligan,3.26,22958
tt0102411,Jerry Rees,2.7,1749
tt0102426,Gabriele Salvatores,3.79,11477
tt0102450,Neil Jordan,3.36,247
tt0102469,Alan Rudolph,3.0,3635
tt0102494,Gus Van Sant,3.87,184135
tt0102511,David Cronenberg,3.74,82267
tt0102517,Stan Dragoti,2.9,4902
tt0102526,Mario Van Peebles,3.39,26801
tt0102555,Brian Gilbert,3.12,8487
tt0102573,Michael Lindsay-Hogg,3.08,653
tt0102590,Lasse Hallström,3.37,1169
tt0102593,Heywood Gould,2.87,1815
tt0102598,Chris Columbus,3.12,4849
tt0102609,Norman Jewison,2.92,3125
tt0102685,Kathryn Bigelow,3.75,266290
tt0102690,Mark Herrier,3.16,16443
tt0102713,Barbra Streisand,3.34,11821
tt0102719,Brian Levant,2.56,11820
tt0102722,Peter Greenaway,3.65,4155
tt0102729,Nadia Tass,2.82,3102
tt0102741,Steve Rash,3.06,681
tt0102749,Bill Duke,3.27,1197
tt0102753,Martha Coolidge,3.17,2711
tt0102757,Michael Tolkin,3.39,6291
tt0102798,Kevin Reynolds,3.24,79179
tt0102803,Joe Johnston,3.41,44041
tt0102900,Wolfgang Petersen,3.13,5703
tt0102913,Jeffrey Hornaday,2.95,419
tt0102915,Mark L. Lester,3.08,11132
tt0102926,Jonathan Demme,4.34,1944132
tt0102951,Michael Hoffman,3.2,12511
tt0102975,Nicholas Meyer,3.62,39432
tt0102996,Kevin Hooks,2.93,972
tt0103035,Arthur Hiller,2.95,2628
tt0103060,Michael Pressman,2.9,50225
tt0103064,James Cameron,4.29,684325
tt0103069,Peter Bogdanovich,3.4,2417
tt0103074,Ridley Scott,4.17,346258
tt0103125,Herbert Ross,3.07,2187
tt0103128,Charles Lane,2.98,417
tt0103247,Randal Kleiser,3.31,10879
tt0103251,Luis Mandoki,3.29,6532
tt0103262,Steve Miner,3.3,2936
tt0103596,Jon Turteltaub,2.78,15915
tt0103639,"Ron Clements,John Musker",3.89,732115
tt0103671,Edward James Olmos,3.53,5983
tt0103767,Ron Fricke,4.32,32683
tt0103772,Paul Verhoeven,3.61,210950
tt0103776,Tim Burton,3.58,383360
tt0103783,Bruce W. Smith,3.02,4062
tt0103786,Brian Levant,2.82,68207
tt0103850,Tim Robbins,3.62,6680
tt0103855,Mick Jackson,3.2,84398
tt0103874,Francis Ford Coppola,3.71,365806
tt0103882,Errol Morris,3.67,6036
tt0103905,"Rémy Belvaux,André Bonzel,Benoît Poelvoorde",3.79,50920
tt0103919,Bernard Rose,3.65,212958
tt0103924,Thom Eberhardt,2.92,10735
tt0103950,Wong Jing,3.1,9121
tt0103956,Jack Bender,2.55,92795
tt0103994,Alfonso Arau,3.42,22322
tt0104009,Ralph Bakshi,2.51,31546
tt0104036,Neil Jordan,3.61,33216
tt0104040,Paul Michael Glaser,3.37,17584
tt0104057,Julie Dash,3.73,15025
tt0104070,Robert Zemeckis,3.71,250679
tt0104073,Bill Duke,3.91,35456
tt0104237,Louis Malle,3.29,17680
tt0104257,Rob Reiner,4.01,209460
tt0104348,James Foley,3.93,107738
tt0104389,Curtis Hanson,3.34,30790
tt0104409,Anthony Hickox,2.74,44919
tt0104412,Stephen Frears,3.16,7812
tt0104427,Danny DeVito,3.21,9427
tt0104431,Chris Columbus,3.53,735671
tt0104437,Randal Kleiser,2.51,35455
tt0104438,Andrew Bergman,2.99,9800
tt0104454,James Ivory,3.72,24375
tt0104466,Woody Allen,3.89,25573
tt0104467,Djibril Diop Mambéty,4.03,4715
tt0104504,Michael Apted,3.69,883
tt0104507,Régis Wargnier,3.41,5065
tt0104522,Mike Newell,3.45,1759
tt0104558,Stanley Tong Gwai-Lai,3.63,27527
tt0104573,Ernest R. Dickerson,3.57,30301
tt0104627,Carl Schenkel,2.89,2796
tt0104691,Michael Mann,3.67,129048
tt0104692,Brett Leonard,2.61,25588
tt0104694,Penny Marshall,3.79,114281
tt0104695,Richard Pearce,3.01,7504
tt0104714,Richard Donner,3.21,62452
tt0104745,Gregg Araki,3.75,22361
tt0104753,Terence Davies,4.0,13954
tt0104765,Jonathan Kaplan,3.04,1507
tt0104797,Spike Lee,4.24,131145
tt0104802,Arne Glimcher,3.17,1595
tt0104868,Stephen Herek,3.32,65792
tt0104897,Peter MacDonald,2.71,3458
tt0104928,Billy Crystal,2.96,2212
tt0104940,Brian Henson,4.01,252932
tt0104952,Jonathan Lynn,3.91,222899
tt0104990,Kenny Ortega,3.42,34593
tt0105001,Irwin Winkler,2.97,1489
tt0105046,Gary Sinise,3.44,41868
tt0105078,Francis Veber,2.83,789
tt0105089,Barbara Trent,3.59,405
tt0105103,Charlie Peters,3.09,387
tt0105107,John Sayles,3.71,3234
tt0105112,Phillip Noyce,3.27,54654
tt0105121,Wes Craven,3.47,51818
tt0105151,Robert Altman,4.02,93921
tt0105165,Norman René,2.83,2639
tt0105226,John Dahl,3.61,18684
tt0105236,Quentin Tarantino,4.15,1166340
tt0105265,Robert Redford,3.6,40072
tt0105316,Darrell James Roodt,3.47,1074
tt0105323,Martin Brest,3.9,252914
tt0105327,Robert Mandel,3.31,22331
tt0105414,Barbet Schroeder,3.23,33957
tt0105415,Cameron Crowe,3.33,34338
tt0105417,Emile Ardolino,3.51,141353
tt0105435,Phil Alden Robinson,3.54,33080
tt0105466,Peter Hyams,3.17,10174
tt0105481,Barnet Kellman,2.97,2134
tt0105483,Sidney Lumet,2.68,1703
tt0105616,Phil Roman,2.81,17553
tt0105629,Barry Levinson,2.71,21643
tt0105631,Andy Wolk,2.75,730
tt0105643,Claudio Fragasso,2.35,37447
tt0105667,Ron Mann,3.53,304
tt0105690,Andrew Davis,3.04,41286
tt0105695,Clint Eastwood,4.2,225603
tt0105698,Roland Emmerich,3.0,34248
tt0105699,Jonathan Kaplan,3.26,10250
tt0105793,Penelope Spheeris,3.55,181273
tt0105824,Carroll Ballard,3.33,1002
tt0105851,Ringo Lam Ling-Tung,3.78,5694
tt0105871,Peter Yates,3.08,463
tt0105885,Anthony Drazan,3.24,679
tt0105916,Colin Nutley,3.4,1719
tt0106220,Barry Sonnenfeld,3.79,206540
tt0106223,Stephen Sommers,3.08,5553
tt0106226,Martin Scorsese,3.81,108406
tt0106233,Rob Bowman,3.0,3778
tt0106308,Sam Raimi,3.71,246799
tt0106315,Patrick Hasburgh,3.0,1052
tt0106332,Chen Kaige,4.34,44470
tt0106339,Iain Softley,3.28,3623
tt0106364,"Bruce Timm,Eric Radomski",4.03,135516
tt0106375,Rod Daniel,2.56,19711
tt0106379,Bill Forsyth,2.94,1498
tt0106387,Jeremiah S. Chechik,3.45,29190
tt0106400,Penelope Spheeris,2.58,10962
tt0106408,Gurinder Chadha,3.52,1571
tt0106438,Derek Jarman,4.14,12944
tt0106455,James B. Harris,2.61,2858
tt0106466,Luis Mandoki,2.68,1301
tt0106505,John Whitesell,2.67,1230
tt0106519,Brian De Palma,4.06,135324
tt0106536,Bill Duke,3.18,299
tt0106582,Renny Harlin,3.21,55822
tt0106611,Jon Turteltaub,3.53,109326
tt0106673,Ivan Reitman,3.43,27046
tt0106677,Richard Linklater,3.93,415090
tt0106701,Nick Castle,2.65,42351
tt0106761,James Yukich,2.13,9951
tt0106770,Rob Cohen,3.35,11187
tt0106827,John Cherry,2.47,1678
tt0106833,John Madden,2.97,752
tt0106856,Joel Schumacher,3.69,142943
tt0106868,Mikael Salomon,3.2,1085
tt0106873,Carl Reiner,2.84,3237
tt0106877,Darrell James Roodt,2.53,1427
tt0106881,Peter Weir,3.67,12857
tt0106912,Rob Lieberman,3.21,26523
tt0106918,Sydney Pollack,3.43,88704
tt0106926,Steve Kloves,3.21,2006
tt0106965,Simon Wincer,2.95,70086
tt0106977,Andrew Davis,3.91,205744
tt0107004,Walter Hill,3.23,6258
tt0107034,Joseph Ruben,3.08,34236
tt0107048,Harold Ramis,3.82,648982
tt0107050,Donald Petrie,3.36,22946
tt0107107,Alan Spencer,3.05,517
tt0107131,Duwayne Dunham,3.47,44109
tt0107144,Jim Abrahams,3.22,40192
tt0107156,Ang Lee,3.8,17103
tt0107157,Hou Hsiao-hsien,3.91,2921
tt0107206,Wolfgang Petersen,3.51,52610
tt0107207,Jim Sheridan,4.15,78590
tt0107209,Wim Wenders,3.68,6992
tt0107211,Adrian Lyne,2.86,43639
tt0107212,Mike Binder,3.15,2101
tt0107247,Marshall Herskovitz,3.16,1424
tt0107282,Wayne Wang,3.95,18889
tt0107290,Steven Spielberg,4.11,1474725
tt0107362,John McTiernan,3.4,97914
tt0107387,Mark Jones,2.36,53178
tt0107443,Martha Coolidge,3.29,1200
tt0107447,Denys Arcand,3.41,2449
tt0107471,André Téchiné,3.53,999
tt0107472,Ray Müller,3.72,973
tt0107497,Harold Becker,3.19,13499
tt0107507,Woody Allen,3.71,43872
tt0107529,Joe Dante,3.65,22798
tt0107554,"Allen Hughes,Albert Hughes",3.89,63994
tt0107594,Ramón Menéndez,2.86,1737
tt0107612,Michael Gottlieb,2.05,4295
tt0107613,Anthony Minghella,3.0,1109
tt0107614,Chris Columbus,3.66,353836
tt0107616,Kenneth Branagh,3.6,47436
tt0107626,Bob Balaban,2.94,4513
tt0107653,Mike Leigh,4.05,93515
tt0107685,Warren Leight,3.15,558
tt0107688,Henry Selick,3.96,1244340
tt0107745,Charles Grosvenor,3.13,3112
tt0107798,Alan J. Pakula,3.28,48760
tt0107808,Clint Eastwood,3.87,39872
tt0107818,Jonathan Demme,3.92,161741
tt0107822,Jane Campion,3.86,100413
tt0107840,John Singleton,3.4,21935
tt0107920,Ken Loach,3.74,3635
tt0107927,Russell Mulcahy,2.64,2547
tt0107943,James Ivory,3.95,58315
tt0107969,Philip Kaufman,2.91,13113
tt0107977,Mel Brooks,3.25,90093
tt0107985,Daniel Stern,3.0,24315
tt0108000,Victor Nunez,3.65,1588
tt0108002,David Anspaugh,3.54,48210
tt0108026,Tim Hunter,3.47,854
tt0108037,David Mickey Evans,3.75,177925
tt0108041,Haile Gerima,3.68,1647
tt0108052,Steven Spielberg,4.53,957240
tt0108065,Steven Zaillian,3.56,23810
tt0108071,Agnieszka Holland,3.66,65188
tt0108122,Robert Altman,4.11,36294
tt0108147,Bill Duke,3.21,58261
tt0108149,Fred Schepisi,3.47,10939
tt0108160,Nora Ephron,3.46,210187
tt0108174,Thomas Schlamme,3.2,41459
tt0108185,Jon Amiel,3.1,6549
tt0108187,Blake Edwards,2.11,2426
tt0108265,Thomas Carter,3.35,12551
tt0108311,Tom Holland,2.7,2068
tt0108327,Peter Bogdanovich,3.27,7684
tt0108333,Stephen Herek,3.06,28192
tt0108358,George P. Cosmatos,3.86,131465
tt0108395,"Gary Goldman,Don Bluth",2.53,5752
tt0108399,Tony Scott,3.94,213673
tt0108410,Keva Rosenfeld,3.11,1254
tt0108442,Herbert Ross,2.89,2528
tt0108451,Tony Bill,3.1,7472
tt0108473,George Sluizer,2.94,12493
tt0108515,"Chris Hegedus,D. A. Pennebaker",3.83,8428
tt0108517,Anthony Hickox,2.79,4308
tt0108526,"Dick Zondag,Simon Wells,Phil Nibbelink,Ralph Zondag",2.95,16403
tt0108539,Robert Klane,2.52,7116
tt0108550,Lasse Hallström,3.81,291306
tt0108569,Glenn Gordon Caron,3.2,737
tt0108583,Derek Jarman,3.65,5551
tt0108596,Randa Haines,3.36,662
tt0109015,Charles T. Kanganis,2.58,7771
tt0109035,Jeff Pollack,3.28,9720
tt0109040,Tom Shadyac,3.2,278916
tt0109045,Stephan Elliott,3.92,73822
tt0109066,Tsai Ming-liang,4.07,20997
tt0109120,George T. Miller,2.79,3198
tt0109127,William Dear,2.97,27481
tt0109190,Patrick Read Johnson,2.83,49052
tt0109219,Whit Stillman,3.7,9324
tt0109279,Caroline Thompson,3.26,8463
tt0109287,Rupert Wainwright,2.39,21138
tt0109305,William Friedkin,3.24,10401
tt0109306,Tony Richardson,3.12,3567
tt0109327,John Flynn,3.03,12548
tt0109348,Woody Allen,3.73,24426
tt0109361,Adam Resnick,2.9,6978
tt0109369,Jonathan Prince,2.96,6787
tt0109402,Adam Rifkin,2.88,6705
tt0109417,John Bailey,3.09,3252
tt0109424,Wong Kar-wai,4.29,513666
tt0109439,Paul Weiland,2.77,8906
tt0109443,Mick Jackson,2.73,1732
tt0109444,Phillip Noyce,3.33,46961
tt0109445,Kevin Smith,3.82,180556
tt0109446,Joel Schumacher,3.26,31336
tt0109480,Michael Ritchie,2.4,3081
tt0109493,Gregg Champion,2.8,3393
tt0109506,Alex Proyas,3.78,231958
tt0109508,Terry Zwigoff,4.17,30492
tt0109579,Roman Polanski,3.72,14163
tt0109702,Olivier Assayas,3.72,6574
tt0109707,Tim Burton,4.05,138661
tt0109731,Claude Chabrol,3.78,12701
tt0109759,Atom Egoyan,3.95,25656
tt0109813,Brian Levant,2.51,76786
tt0109830,Robert Zemeckis,4.14,2460308
tt0109831,Mike Newell,3.37,198437
tt0109890,Roger Donaldson,2.84,6957
tt0109906,Charles Burnett,3.47,2237
tt0109913,Rose Troche,3.69,6461
tt0109920,Bruce Beresford,2.91,446
tt0109934,Jean Bach,3.54,326
tt0110005,Peter Jackson,3.76,55646
tt0110006,Steven Brill,3.22,32242
tt0110008,Isao Takahata,3.69,98351
tt0110057,Steve James,4.41,44569
tt0110064,Eric Meza,2.45,1653
tt0110066,Randall Miller,2.86,3466
tt0110074,Joel Coen,3.69,68048
tt0110081,Zhang Yimou,4.2,18309
tt0110099,Fred Schepisi,2.93,7988
tt0110115,Anthony Drazan,3.3,402
tt0110123,Daniel Petrie Jr.,2.38,6888
tt0110137,Matty Rich,3.23,668
tt0110171,Claire Denis,3.73,2790
tt0110186,Doug McHenry,3.24,1838
tt0110197,Barry Levinson,2.72,1268
tt0110200,Gordon Chan,3.73,9912
tt0110216,Ivan Reitman,2.37,40233
tt0110305,Daniel Petrie,2.98,6200
tt0110322,Edward Zwick,3.51,99426
tt0110329,Rodman Flender,2.35,17919
tt0110357,"Roger Allers,Rob Minkoff",4.22,1432617
tt0110363,Andrew Scheinman,3.11,6383
tt0110364,Duwayne Dunham,3.16,19486
tt0110366,Penelope Spheeris,3.27,83456
tt0110367,Gillian Armstrong,3.85,132371
tt0110395,C.M. Talkington,3.08,2204
tt0110399,Keenen Ivory Wayans,2.87,2554
tt0110428,Nicholas Hytner,3.57,8342
tt0110442,David S. Ward,2.77,12380
tt0110443,Nick Castle,2.93,26601
tt0110475,Chuck Russell,3.37,579135
tt0110478,Richard Donner,3.39,34650
tt0110527,Les Mayfield,3.3,48695
tt0110538,Nora Ephron,2.6,13384
tt0110557,Franco Amurri,2.57,4487
tt0110588,Alan Rudolph,3.36,2647
tt0110598,P.J. Hogan,3.78,60616
tt0110622,Peter Segal,3.18,57385
tt0110632,Oliver Stone,3.63,228292
tt0110638,Michael Apted,3.05,11283
tt0110684,Robert Benton,3.67,10769
tt0110687,Rob Reiner,2.2,7726
tt0110722,David Mamet,3.23,2386
tt0110729,Lee Tamahori,3.95,17607
tt0110763,"Pixote Hunt,Joe Johnston",3.21,22977
tt0110771,Ron Howard,3.37,10869
tt0110912,Quentin Tarantino,4.26,2865999
tt0110932,Robert Redford,3.81,45598
tt0110939,Mel Smith,3.06,1827
tt0110950,Ben Stiller,3.42,81160
tt0110955,Ted Demme,3.35,14915
tt0110963,Patrice Chéreau,3.84,15589
tt0110971,Penny Marshall,3.0,6218
tt0110989,Donald Petrie,2.66,62477
tt0110997,Curtis Hanson,3.31,28430
tt0111001,Alan Parker,2.92,4919
tt0111070,John Pasquin,3.18,203939
tt0111094,Michael Ritchie,2.74,3973
tt0111112,John Sayles,3.71,6533
tt0111127,John Waters,3.79,77995
tt0111143,Russell Mulcahy,2.87,14341
tt0111161,Frank Darabont,4.57,1764788
tt0111187,Bruce Beresford,2.8,1199
tt0111194,Gillies MacKinnon,2.99,2295
tt0111201,John Duigan,3.02,4248
tt0111257,Jan de Bont,3.68,316221
tt0111282,Roland Emmerich,3.19,70275
tt0111309,"Geoff Burton,Kevin Dowling",3.56,1901
tt0111323,Ernest R. Dickerson,3.11,6988
tt0111408,"Bud Friedgen,Michael J. Sheridan",3.52,1301
tt0111419,"Gary Goldman,Don Bluth",3.09,26117
tt0111454,Brian Gilbert,3.09,763
tt0111477,George Gallo,2.81,10369
tt0111488,Heywood Gould,3.0,563
tt0111503,James Cameron,3.59,149643
tt0111579,Nikita Mikhalkov,3.88,6538
tt0111590,Louis Malle,3.84,5401
tt0111693,Luis Mandoki,3.3,9896
tt0111701,Ken Olin,2.92,926
tt0111742,Mike Nichols,2.97,26741
tt0111756,Lawrence Kasdan,3.21,15397
tt0111797,Ang Lee,4.12,30866
tt0112281,Steve Oedekerk,3.03,132309
tt0112288,Abel Ferrara,3.62,29036
tt0112302,Peter Hewitt,2.65,6823
tt0112342,Christopher Cain,2.77,2153
tt0112346,Rob Reiner,3.37,30535
tt0112365,Philip Haas,3.37,1217
tt0112379,Marleen Gorris,3.87,5219
tt0112384,Ron Howard,3.8,203211
tt0112401,Richard Donner,2.89,22105
tt0112431,Chris Noonan,3.41,149200
tt0112435,Melanie Mayron,3.05,5513
tt0112442,Michael Bay,3.23,233017
tt0112443,Damian Harris,2.89,1133
tt0112462,Joel Schumacher,2.5,251510
tt0112471,Richard Linklater,4.32,944964
tt0112495,John Boorman,3.16,1243
tt0112499,Holly Goldberg Sloan,2.64,8871
tt0112508,Tamra Davis,3.02,144073
tt0112541,"Wayne Wang,Paul Auster",3.36,4274
tt0112571,Herbert Ross,3.31,7695
tt0112572,Betty Thomas,3.27,24590
tt0112573,Mel Gibson,3.89,361344
tt0112579,Clint Eastwood,4.05,81699
tt0112585,Edward Burns,3.2,3280
tt0112602,Greg Beeman,2.72,3955
tt0112604,Michael Winterbottom,3.37,744
tt0112625,Bill Condon,2.6,16934
tt0112641,Martin Scorsese,4.2,494060
tt0112642,Brad Silberling,3.08,194463
tt0112682,"Marc Caro,Jean-Pierre Jeunet",3.76,43021
tt0112688,Spike Lee,3.64,18732
tt0112697,Amy Heckerling,3.72,1191934
tt0112740,Tony Scott,3.8,60415
tt0112744,Sean Penn,3.2,4794
tt0112749,Darrell James Roodt,3.29,559
tt0112767,Trần Anh Hùng,3.81,4604
tt0112792,John N. Smith,3.2,31934
tt0112817,Jim Jarmusch,3.9,93138
tt0112818,Tim Robbins,3.74,35732
tt0112819,"Albert Hughes,Allen Hughes",3.55,17662
tt0112851,Robert Rodriguez,3.5,88014
tt0112857,Carl Franklin,3.67,34675
tt0112870,Aditya Chopra,3.95,29553
tt0112887,Gregg Araki,3.76,70096
tt0112895,David Price,2.45,1049
tt0112896,Mel Brooks,2.83,28537
tt0112913,Wong Kar-wai,4.18,464393
tt0112950,Allan Moyle,3.55,123203
tt0113010,Andrew Sipes,2.21,4678
tt0113026,Michael Ritchie,3.08,337
tt0113057,Benoît Jacquot,3.49,2251
tt0113083,Pedro Almodóvar,3.61,20435
tt0113101,"Robert Rodriguez,Alexandre Rockwell,Allison Anders,Quentin Tarantino",3.17,67921
tt0113114,Dwight H. Little,2.56,11213
tt0113117,Lawrence Kasdan,3.3,20912
tt0113118,F. Gary Gray,3.57,146882
tt0113133,Peter Chelsom,3.4,1181
tt0113149,Josiane Balasko,3.21,2717
tt0113158,Ulu Grosbard,3.45,1978
tt0113161,Barry Sonnenfeld,3.46,49370
tt0113188,Kevin James Dobson,3.14,3549
tt0113189,Martin Campbell,3.56,152459
tt0113198,Kevin Lima,3.67,177292
tt0113234,Art Clokey,3.21,2240
tt0113243,Iain Softley,3.26,63722
tt0113253,Joe Chappelle,2.03,71595
tt0113277,Michael Mann,4.28,673413
tt0113305,John Singleton,3.24,11552
tt0113360,J.F. Lawton,3.01,1701
tt0113416,Maria Maggenti,3.78,26249
tt0113419,Frank Oz,2.9,23526
tt0113442,Andy Tennant,3.22,35024
tt0113451,William Friedkin,2.75,13389
tt0113463,James Ivory,2.96,860
tt0113464,Christopher Ashley,3.33,2359
tt0113497,Joe Johnston,3.63,583151
tt0113533,John Gray,2.75,837
tt0113537,Noah Baumbach,3.35,47821
tt0113538,Michael Gottlieb,2.44,6213
tt0113540,Larry Clark,3.44,163055
tt0113552,Barbet Schroeder,2.93,7163
tt0113613,Stacy Title,3.37,6330
tt0113617,Tab Murphy,3.28,1042
tt0113627,Mike Figgis,3.75,79308
tt0113670,Alfonso Cuarón,3.79,51347
tt0113677,Tom DiCillo,3.87,31567
tt0113690,Clive Barker,3.08,15130
tt0113725,Hirokazu Kore-eda,4.1,21643
tt0113729,Antonia Bird,2.7,3479
tt0113737,Rick Stevenson,2.94,717
tt0113749,Kevin Smith,3.39,76909
tt0113755,James Orr,2.41,8287
tt0113819,Woody Allen,3.44,22405
tt0113870,Marc Rocco,3.47,8909
tt0113936,Kelly Makin,2.63,2225
tt0113952,Terence Davies,3.45,1893
tt0113986,Chris Columbus,2.7,17572
tt0114011,Lesli Linka Glatter,3.6,30470
tt0114048,Simon Wincer,2.54,5704
tt0114057,Oliver Parker,3.12,8900
tt0114086,Michelangelo Antonioni,3.23,2624
tt0114095,Daisy von Scherler Mayer,3.61,43388
tt0114108,"Don Bluth,Gary Goldman",2.7,5808
tt0114113,Mira Nair,3.17,790
tt0114148,"Mike Gabriel,Eric Goldberg",3.24,348027
tt0114210,Joshua Brand,3.15,300
tt0114214,Sam Raimi,3.43,79805
tt0114272,Michael Hoffman,3.12,2271
tt0114279,Richard Loncraine,3.67,9274
tt0114287,Michael Caton-Jones,3.38,12569
tt0114296,Peter Yates,3.11,477
tt0114319,Sydney Pollack,3.19,25849
tt0114323,Todd Haynes,3.97,70060
tt0114345,Roland Joffé,2.64,7191
tt0114371,David Salle,3.11,453
tt0114388,Ang Lee,3.84,136730
tt0114436,Paul Verhoeven,3.37,129249
tt0114478,Wayne Wang,3.75,15934
tt0114496,Lasse Hallström,2.79,4469
tt0114558,Kathryn Bigelow,3.82,66655
tt0114571,Harold Ramis,2.69,1593
tt0114614,Rachel Talalay,3.13,35015
tt0114660,Gary Fleder,3.2,8817
tt0114681,Gus Van Sant,3.64,87050
tt0114694,Peter Segal,3.4,73664
tt0114709,John Lasseter,4.12,1621309
tt0114746,Terry Gilliam,3.87,342041
tt0114788,Steven Soderbergh,3.15,3331
tt0114798,Diane Keaton,3.3,718
tt0114805,Douglas Keeve,3.68,1183
tt0114814,Bryan Singer,4.07,595667
tt0114852,John Carpenter,2.81,33421
tt0114863,Theo Angelopoulos,4.17,8389
tt0114885,Forest Whitaker,3.39,12912
tt0114898,Kevin Reynolds,2.88,90053
tt0114906,Todd Solondz,3.68,80359
tt0114916,Patricia Rozema,3.2,2593
tt0114938,Walter Hill,2.92,3747
tt0115005,Joan Chen,3.73,2252
tt0115012,Zhang Yimou,3.59,3419
tt0115433,Stephen Herek,2.87,149591
tt0115471,Albert Pyun,2.64,878
tt0115493,Fraser Clarke Heston,2.86,1748
tt0115509,"Larry Leker,Paul Sabella",2.78,6002
tt0115530,Michael Corrente,3.12,1948
tt0115580,Donald Petrie,3.1,4178
tt0115610,Eric Red,2.97,11757
tt0115632,Julian Schnabel,3.41,23420
tt0115633,Anjelica Huston,3.44,1513
tt0115638,Édouard Molinaro,3.32,551
tt0115639,Ted Demme,3.29,12655
tt0115640,Hettie Macdonald,3.85,17886
tt0115644,Michael Goldenberg,2.85,2327
tt0115676,Steve Miner,2.42,3279
tt0115678,"Campbell Scott,Stanley Tucci",3.89,28668
tt0115685,Mike Nichols,3.88,155114
tt0115693,Daniel Lee,3.08,4714
tt0115697,Penelope Spheeris,2.96,23012
tt0115710,Bob Rafelson,2.97,4303
tt0115734,Wes Anderson,3.54,171545
tt0115736,"Lana Wachowski,Lilly Wachowski",4.0,128284
tt0115742,Stacy Cochran,2.56,2230
tt0115751,Lars von Trier,4.13,63889
tt0115783,Ernest R. Dickerson,2.67,15508
tt0115851,Tom DeCerchio,2.56,4520
tt0115857,Andrew Davis,2.66,21429
tt0115906,Alexander Payne,3.64,13170
tt0115907,Harold Becker,2.93,7547
tt0115927,Daniel Taplitz,3.06,291
tt0115956,Edward Zwick,3.23,18869
tt0115963,Andrew Fleming,3.55,379184
tt0115986,Tim Pope,2.4,11188
tt0115988,Nicholas Hytner,3.25,42261
tt0116000,Rob Lieberman,2.83,23322
tt0116059,Garry Marshall,2.7,1329
tt0116070,Ira Sachs,3.12,2299
tt0116075,Brian Yuzna,2.85,10559
tt0116095,Jeremiah S. Chechik,2.86,7050
tt0116126,Paris Barclay,3.19,42509
tt0116141,Tiffanie DeBartolo,3.12,669
tt0116151,Ken Kwapis,2.75,10844
tt0116165,Bill Couturié,1.82,3130
tt0116191,Douglas McGrath,3.26,33127
tt0116209,Anthony Minghella,3.59,85665
tt0116213,Chuck Russell,2.88,33935
tt0116250,Alan Parker,3.05,20119
tt0116260,John Schlesinger,2.9,13354
tt0116261,Tim Blake Nelson,3.63,461
tt0116275,Richard Pearce,3.38,1125
tt0116282,Joel Coen,4.19,918639
tt0116287,James Foley,2.95,94433
tt0116289,Steven Baigelman,2.6,3336
tt0116293,Susan Streitfeld,3.22,1458
tt0116295,Chen Kaige,3.48,997
tt0116311,David Mickey Evans,2.52,6456
tt0116313,Hugh Wilson,3.6,58338
tt0116322,Alan Shapiro,2.53,8323
tt0116329,Carroll Ballard,3.44,14378
tt0116361,Matthew Bright,3.48,31367
tt0116365,Peter Jackson,3.45,58760
tt0116367,Robert Rodriguez,3.52,279791
tt0116378,Abel Ferrara,3.68,8018
tt0116384,Mohsen Makhmalbaf,3.76,4596
